gwas_id	Disease	n	Genes
GWAS:11	Schizophrenia_vs_Bipolar_disorder_PGC_2014	223	1806, 51177, 10806, 10000, 7444, 23451, 3329, 100529241, 25843, 130132, 205327, 129450, 79568, 26010, 26058, 3769, 389084, 25791, 152330, 9779, 9881, 23166, 55830, 3699, 3700, 389125, 100526772, 375346, 51460, 27086, 5096, 8087, 131118, 348980, 57688, 2107, 3313, 4238, 55568, 10050, 6568, 10786, 10475, 3024, 3077, 8364, 3010, 8347, 8334, 3008, 3017, 11118, 10384, 11120, 696, 29777, 79692, 8969, 94026, 8340, 8329, 8363, 8341, 3009, 8356, 81697, 7718, 80345, 7745, 7746, 387032, 222698, 84547, 64288, 80317, 9753, 222696, 114821, 5987, 26692, 442191, 81696, 81797, 26531, 26716, 10537, 346171, 3105, 30834, 6992, 80352, 11074, 135644, 10107, 89870, 7726, 56658, 202658, 2794, 23, 79969, 221545, 170954, 11270, 203068, 10211, 780, 2968, 57176, 389376, 135656, 394263, 5460, 3107, 3106, 199, 7916, 7917, 55937, 1460, 58496, 23564, 1192, 4439, 401251, 80737, 7407, 57819, 3305, 3303, 4758, 80736, 10919, 221527, 7148, 1388, 63943, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 10665, 3122, 3123, 3117, 3119, 3833, 8831, 3710, 667, 9892, 8379, 83943, 64478, 4482, 203062, 783, 1586, 119032, 57412, 54805, 22978, 8525, 55626, 9776, 392, 643376, 4900, 90952, 22997, 775, 56899, 4842, 23457, 79676, 57605, 10198, 91574, 8099, 387893, 5587, 64919, 9529, 3831, 84334, 7517, 79038, 23368, 3990, 1136, 54993, 84942, 4828, 9640, 5045, 2242, 54715, 253980, 124446, 9344, 8479, 23659, 23293, 63826, 83450, 91647, 6925, 54815, 51291, 9745, 26051, 5740, 4248, 8911, 164684, 6942, 283254, 64219
GWAS:40	Educational_attainment_SSGAC_2016	101	5792, 9682, 6487, 257194, 9859, 10806, 53335, 3899, 164832, 55843, 1803, 57624, 65010, 1951, 51517, 51447, 3615, 54870, 200942, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 389119, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 2779, 24142, 3373, 56987, 54790, 55534, 5144, 79993, 1161, 91942, 643155, 57688, 4208, 1946, 6310, 60412, 50626, 84988, 9401, 9684, 4781, 57118, 221037, 29119, 30819, 79591, 5309, 8729, 5662, 7003, 55729, 6821, 6231, 2065, 79676, 51329, 57605, 10198, 91574, 8099, 387893, 196383, 27253, 8428, 55147, 10419, 54930, 84962, 80031, 10260, 8766, 92017, 7473, 29919, 4864, 652991, 1630, 8911
GWAS:50	Age_at_menarche_ReproGen_2017	321	23261, 23334, 81888, 5792, 9682, 6487, 1600, 9829, 54741, 257194, 100526835, 51086, 105378803, 1806, 6258, 89866, 3814, 109, 2956, 114800, 5194, 9736, 7514, 23177, 1961, 80059, 11250, 53353, 55660, 151188, 55137, 23314, 7341, 51602, 5746, 2066, 6304, 6599, 51447, 5576, 10425, 54870, 3913, 200942, 646498, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 2779, 9254, 51161, 51409, 1154, 7867, 1795, 23132, 51368, 5449, 8545, 55279, 285237, 26137, 4045, 60678, 1981, 131408, 1181, 6434, 2119, 345222, 5099, 56916, 55024, 6870, 167359, 4724, 814, 134429, 23338, 819, 51307, 51780, 51308, 4238, 57451, 114821, 2550, 346171, 3134, 80736, 57497, 10817, 100188893, 25862, 9477, 705, 896, 222584, 221336, 26054, 4646, 84553, 10973, 57531, 389421, 11149, 2309, 387103, 80129, 8379, 64921, 7586, 93664, 168433, 54927, 60412, 9228, 64478, 157724, 11059, 51115, 8895, 51305, 23081, 5789, 80036, 10912, 23196, 5253, 58499, 8518, 54942, 8727, 23731, 23732, 23392, 158399, 22949, 347088, 2516, 2649, 169611, 105, 8505, 221037, 221035, 55328, 387707, 54619, 55719, 84545, 57715, 79591, 23082, 54805, 150, 26033, 8661, 11101, 1488, 60626, 23410, 5719, 65975, 9866, 406, 55553, 627, 81930, 196074, 120534, 51144, 120071, 51317, 55626, 392, 1207, 51773, 92105, 57558, 9846, 79731, 1740, 7225, 79671, 79864, 390259, 6660, 85478, 51303, 377, 7480, 23109, 5571, 8085, 5630, 57701, 23017, 6926, 57511, 11278, 317761, 4990, 57578, 283600, 7453, 79446, 57596, 80031, 79664, 6642, 79856, 5479, 53944, 9768, 9325, 23060, 4947, 4088, 79719, 64799, 5607, 390598, 64506, 8120, 9455, 55070, 255027, 89927, 400506, 124152, 124274, 10423, 26470, 253982, 253980, 124446, 9344, 8479, 283899, 8448, 146378, 83723, 5531, 6911, 79153, 5595, 79068, 10725, 1728, 28987, 11060, 79877, 4836, 124790, 252983, 57521, 146705, 284184, 124565, 9229, 8715, 83473, 84064, 51124, 652991, 57455, 83855, 23030, 115704, 5300, 93145, 25789, 23373, 27033, 9757, 79713, 126393, 148137, 4861, 23211, 10055, 84557, 23054, 2686, 343578, 4159, 4987, 8624, 54014, 3150, 5594, 9647, 22880, 653361, 84163, 83719, 3547, 9459
GWAS:54	Inflammatory_Bowel_Disease_IBDgenetics_2015	138	85452, 11315, 54206, 54546, 23252, 400757, 149233, 3595, 26135, 2212, 55765, 23046, 779, 63892, 5966, 150962, 5194, 84542, 9173, 8809, 8807, 389015, 10109, 55054, 6295, 1294, 65010, 1951, 51517, 51447, 54870, 339834, 375341, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 7318, 10293, 79012, 4486, 84315, 10180, 10181, 6405, 8974, 8572, 6584, 345611, 4277, 534, 4795, 4049, 7940, 259197, 57827, 7918, 401251, 3305, 7936, 7148, 1388, 56244, 3122, 3123, 3117, 3119, 3112, 60468, 8635, 1811, 1738, 3912, 3717, 11172, 3641, 9966, 26086, 728489, 64170, 6621, 10807, 23203, 56623, 9919, 8453, 1390, 159296, 120892, 4088, 1201, 1201, 55911, 246778, 112869, 6799, 6817, 11273, 7284, 25970, 487, 29117, 64127, 1540, 2064, 124626, 55876, 94103, 284110, 6777, 6774, 5771, 85441, 26205, 50861, 51750, 8771, 10139, 84619, 54923, 56731, 7332, 150223, 8897, 3310, 3127, 728734
GWAS:55	Crohn_s_Disease_IBDgenetics_2015	114	400757, 149233, 10067, 57657, 5313, 2224, 55870, 55154, 63892, 150962, 8807, 5334, 55054, 6295, 7375, 2876, 387, 6988, 275, 84276, 1605, 8927, 327, 4485, 63891, 386724, 29925, 9807, 389118, 10293, 79012, 23548, 5562, 6167, 64167, 4012, 1437, 8974, 8572, 6583, 6584, 3659, 80762, 85027, 345611, 54901, 3107, 100507436, 4795, 4049, 7124, 7940, 259197, 7917, 57827, 7918, 4439, 7407, 717, 629, 6499, 1797, 8859, 7148, 1388, 63943, 4855, 60468, 8635, 3717, 9966, 728489, 64170, 6621, 10807, 23203, 56623, 9919, 8453, 1390, 159296, 120892, 4088, 1201, 1201, 55911, 112869, 6799, 6817, 11273, 7284, 25970, 487, 113, 29117, 85407, 124460, 64127, 1540, 6347, 6774, 5771, 11140, 2524, 50861, 51750, 8771, 10139, 84619, 54923, 56731, 7332, 150223, 728734
GWAS:77	Height_GIANT_2010	121	4237, 23400, 6390, 26052, 116461, 7042, 8648, 79172, 109, 22979, 2202, 255101, 129563, 26137, 253461, 5922, 64778, 54876, 64151, 254251, 64399, 6059, 54726, 4883, 8974, 347732, 3010, 3017, 8365, 170680, 3107, 3106, 100507436, 401250, 7919, 4795, 199, 7916, 7917, 8859, 7148, 3710, 3159, 221491, 7629, 50619, 5467, 389421, 387103, 57211, 2099, 155185, 2768, 221895, 257415, 1021, 5324, 56169, 57623, 5727, 11046, 195828, 8555, 5069, 169714, 7003, 5795, 2120, 55297, 51561, 8091, 8835, 8738, 57605, 4776, 5890, 9321, 4016, 6457, 57188, 176, 170691, 6909, 10238, 4215, 11325, 974, 91768, 54808, 84444, 4782, 51654, 6640, 9139, 1869, 11264, 83658, 128869, 23054, 58476, 2686, 57644, 26133, 55741, 10544, 10893, 55245, 8200, 11190, 140873, 51614, 6676, 8904, 10137, 9054, 140823, 9584, 51230, 51282, 140894, 2036
GWAS:82	Height_GIANT_2014	781	5590, 199990, 6497, 63976, 9563, 9696, 4237, 23400, 6390, 11240, 832, 1889, 7798, 3352, 25932, 149420, 378807, 79727, 1298, 200172, 22955, 59269, 10327, 149483, 60313, 23139, 8503, 6491, 51727, 11124, 1031, 255631, 56267, 2672, 7813, 388650, 1301, 829, 4343, 317772, 9900, 10903, 58497, 57592, 5298, 57216, 26052, 5279, 92346, 3915, 3918, 23127, 116461, 100381270, 5784, 7042, 339500, 116841, 65094, 339501, 7837, 8462, 57539, 4148, 114818, 54454, 165324, 388931, 80304, 375189, 8648, 79172, 109, 51277, 22979, 5443, 1788, 2646, 4052, 51232, 10602, 63892, 5495, 6519, 9581, 79823, 90423, 9655, 285051, 6711, 400954, 2202, 27332, 8291, 9451, 80122, 22930, 84083, 23518, 115677, 57405, 79828, 129831, 2744, 6772, 5334, 51602, 285180, 3579, 10109, 151306, 25953, 64114, 375307, 6556, 7429, 57695, 9125, 84812, 7701, 617, 64320, 27148, 9654, 1593, 255101, 3549, 79840, 151295, 27013, 93010, 4691, 10316, 4880, 129563, 9470, 189, 728763, 3069, 9855, 10494, 666, 84818, 9686, 23609, 79885, 7068, 10217, 50853, 9254, 51161, 51409, 1154, 7867, 1795, 132160, 51533, 440957, 55193, 26354, 55830, 6787, 3697, 3699, 3700, 389125, 100526772, 375346, 51460, 91869, 285331, 23272, 378, 201627, 2317, 5793, 27086, 23429, 26137, 56941, 25847, 80254, 339855, 5523, 55167, 10274, 253461, 5922, 51319, 2122, 64778, 2693, 8743, 6434, 604, 344901, 7884, 92305, 10460, 353497, 79441, 54360, 27201, 8532, 27146, 54876, 64151, 254251, 5981, 285527, 54940, 54790, 79642, 5393, 890, 55212, 2247, 2549, 2994, 64399, 10393, 6059, 54726, 80014, 4883, 25836, 55100, 1601, 6414, 153129, 4214, 133383, 166968, 11174, 5295, 2241, 153241, 1437, 8974, 8572, 6583, 6584, 23338, 84105, 347732, 5307, 6586, 8817, 644994, 51720, 2264, 30832, 9509, 9945, 2762, 6239, 654, 3400, 6568, 3024, 3006, 3077, 8364, 3010, 8347, 8334, 3008, 3017, 8351, 8365, 10385, 696, 10473, 29777, 8970, 85236, 94026, 5987, 282890, 26692, 442184, 442186, 26707, 442191, 81696, 81797, 2550, 3134, 89870, 56658, 202658, 79897, 202658, 389376, 135656, 100507679, 29113, 170679, 170680, 54535, 6941, 5460, 3107, 3106, 100507436, 4277, 401250, 7919, 534, 4795, 4049, 7940, 259197, 199, 7916, 7917, 55937, 57827, 7918, 1460, 58496, 23564, 1192, 4439, 7407, 3305, 4758, 80736, 10919, 717, 221527, 629, 7936, 6499, 1797, 8859, 7148, 1388, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 10665, 3122, 3123, 3117, 3710, 84300, 117283, 4295, 3159, 221491, 100529239, 6204, 25803, 64771, 6631, 54887, 23294, 6954, 222663, 7629, 50619, 5467, 7005, 2289, 116369, 1432, 705, 896, 8464, 860, 23607, 26054, 4646, 594, 55603, 389421, 2309, 8763, 285755, 6610, 64780, 9841, 221264, 9896, 2444, 29940, 57120, 285761, 387103, 4829, 100126572, 51534, 57211, 2099, 56995, 10846, 155185, 2768, 113263, 3696, 10643, 29896, 90693, 221895, 9586, 6424, 26053, 222194, 57157, 57798, 30816, 5189, 84060, 257415, 1021, 79974, 4850, 647087, 64764, 26, 3757, 4846, 10395, 4017, 51312, 2796, 54793, 157313, 51435, 4067, 5324, 195814, 5179, 9760, 4856, 5168, 56169, 57623, 54796, 26206, 5125, 55582, 84267, 3190, 80010, 4920, 3376, 55035, 401541, 4969, 4958, 54829, 1842, 64768, 89846, 84909, 5727, 11046, 195828, 22927, 8555, 1306, 58499, 85301, 5069, 23245, 22954, 8939, 6256, 169714, 26086, 728489, 64170, 6621, 10807, 23203, 56623, 1645, 83643, 5592, 84665, 220202, 55680, 1763, 8034, 57178, 10105, 54619, 1369, 55719, 79847, 10121, 51684, 54838, 9644, 2869, 9679, 3481, 723961, 3784, 7003, 22800, 5286, 4925, 120534, 8567, 4607, 6688, 91252, 5702, 5913, 10658, 23788, 5795, 2346, 823, 5017, 29984, 26579, 254225, 10825, 871, 23187, 11181, 1656, 390259, 2313, 283358, 2120, 1027, 5139, 53919, 6660, 55297, 81539, 55089, 283375, 283373, 1431, 9924, 51561, 6773, 319, 65012, 10956, 116986, 6302, 1019, 10102, 10677, 10106, 8091, 8835, 8738, 55332, 23389, 605, 22877, 254050, 57605, 10198, 91574, 8099, 55206, 144347, 9612, 23047, 3839, 10206, 283518, 8881, 57594, 161424, 1241, 196883, 11035, 4776, 23034, 23002, 317761, 4149, 5890, 4053, 9321, 9895, 4140, 11339, 51103, 23168, 3706, 4058, 23431, 1588, 6095, 145741, 4091, 4088, 7090, 56965, 60677, 4016, 9399, 5371, 3671, 64220, 6457, 57188, 54993, 11214, 176, 4240, 6017, 55215, 5428, 170691, 22856, 117166, 84219, 146330, 79006, 65990, 84264, 64428, 64788, 4913, 7249, 5310, 25837, 57524, 64223, 283870, 283871, 1877, 1775, 80178, 29855, 5493, 6296, 146212, 55282, 51673, 9114, 10725, 11060, 55565, 348180, 9780, 1140, 57659, 84667, 5187, 3768, 28964, 124930, 55352, 55813, 23512, 114659, 7153, 3487, 80347, 6945, 29893, 162427, 27175, 2826, 8506, 2145, 4836, 113026, 79777, 124790, 10951, 284076, 65264, 11267, 2695, 22834, 54828, 6909, 10238, 4215, 92335, 57003, 11325, 6603, 1444, 974, 6329, 5608, 57602, 55125, 91768, 85019, 9811, 54808, 4772, 84444, 4782, 5605, 3643, 57153, 3609, 4650, 93343, 404037, 53345, 57794, 51079, 374887, 57130, 9745, 83889, 641649, 593, 56915, 374907, 55101, 478, 2901, 5452, 162989, 2931, 2077, 51654, 6640, 9139, 63941, 1869, 11264, 84905, 83658, 84557, 128869, 23054, 58476, 2686, 55902, 57644, 26133, 55741, 10544, 10893, 3692, 128876, 55245, 8200, 11190, 140873, 51614, 6676, 8904, 10137, 9054, 140823, 9584, 51230, 51282, 140894, 2036, 25980, 140711, 25939, 5933, 10564, 1434, 6780, 55661, 57169, 6615, 2778, 8224, 4248, 116115
GWAS:84	Rheumatoid_Arthritis_NA_2010	128	260425, 10745, 54665, 26191, 84547, 2550, 4340, 346171, 3134, 3135, 30834, 6992, 11074, 135644, 10107, 89870, 7726, 56658, 202658, 79897, 202658, 5514, 79969, 11270, 9656, 780, 2968, 57176, 389376, 135656, 394263, 100507679, 170679, 170680, 54535, 5460, 3107, 3106, 100507436, 4277, 401250, 7919, 534, 4795, 4049, 7124, 4050, 7940, 199, 7916, 7917, 55937, 57827, 7918, 1460, 58496, 80741, 7920, 259215, 110599563, 58530, 110599563, 80740, 23564, 1192, 4439, 80737, 7407, 3305, 4758, 80736, 10919, 717, 221527, 629, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 10665, 56244, 3122, 3123, 3117, 3119, 3117, 3118, 3120, 3112, 5696, 5698, 6890, 3109, 3108, 3111, 3113, 3115, 1302, 6257, 7923, 6015, 6293, 6222, 8705, 9277, 10471, 5863, 6892, 1616, 5252, 51596, 8831, 3710, 84300, 117283, 4295
GWAS:330	Type_1_Diabetes_NA_2009	119	260425, 10745, 54665, 26191, 440603, 11120, 8341, 3009, 8356, 7718, 114821, 442186, 442191, 81696, 81797, 26531, 2550, 7932, 4340, 3134, 30834, 6992, 80352, 11074, 135644, 10107, 89870, 23, 79969, 8449, 170954, 9656, 203068, 10211, 780, 57176, 135656, 394263, 100507679, 29113, 170679, 1041, 170680, 54535, 6941, 5460, 3107, 3106, 100507436, 4277, 401250, 7919, 534, 4795, 4049, 7940, 199, 7916, 7917, 55937, 57827, 7918, 58496, 80741, 7920, 259215, 110599563, 80740, 4439, 80737, 57819, 3305, 3304, 4758, 80736, 717, 221527, 629, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 10665, 56244, 3122, 3119, 3117, 3118, 3120, 3112, 5696, 5698, 6890, 3109, 3108, 3111, 3115, 1302, 8705, 5863, 6892, 9278, 1616, 3481, 723961, 7054, 10019
GWAS:375	Rheumatoid_Arthritis_NA_2014	132	23569, 55604, 10050, 10246, 10475, 3024, 3077, 3017, 8365, 10384, 11120, 8341, 26212, 387032, 222698, 84547, 64288, 114821, 26531, 26716, 116511, 10537, 2550, 3134, 30834, 6992, 80352, 11074, 3133, 2794, 221545, 8449, 170954, 11270, 9656, 780, 2968, 389376, 135656, 100507679, 29113, 170679, 1041, 170680, 54535, 6941, 5460, 3106, 100507436, 4277, 401250, 7919, 534, 4795, 4049, 7124, 4050, 7940, 259197, 199, 7916, 7917, 55937, 57827, 7918, 1460, 58496, 80741, 7920, 259215, 110599563, 58530, 110599563, 80740, 23564, 1192, 4439, 80737, 7407, 57819, 3305, 3303, 3304, 4758, 80736, 10919, 717, 221527, 629, 7936, 6499, 1797, 8859, 7148, 1388, 63943, 80863, 9374, 80864, 10554, 6048, 177, 5089, 63940, 4855, 10665, 56244, 3122, 3117, 3117, 3118, 3120, 3112, 5698, 6890, 3111, 3113, 3115, 1302, 3710, 117283, 221496, 4295, 4794, 57505, 7128, 8635, 1235, 5583, 5771, 720, 721
