Disease	Cluster	Gene
Age_at_menarche_ReproGen_2014	noprop_2	8019
Age_at_menarche_ReproGen_2014	noprop_2	23081
Age_at_menarche_ReproGen_2014	noprop_2	8545
Age_at_menarche_ReproGen_2014	noprop_2	9682
Age_at_menarche_ReproGen_2014	noprop_2	8607
Age_at_menarche_ReproGen_2014	noprop_2	23338
Age_at_menarche_ReproGen_2014	noprop_1	55327
Age_at_menarche_ReproGen_2014	noprop_1	9254
Age_at_menarche_ReproGen_2014	noprop_1	8170
Age_at_menarche_ReproGen_2014	noprop_1	5792
Age_at_menarche_ReproGen_2014	noprop_1	8927
Age_at_menarche_ReproGen_2014	noprop_1	7225
Age_at_menarche_ReproGen_2014	noprop_4	5300
Age_at_menarche_ReproGen_2014	noprop_4	4485
Age_at_menarche_ReproGen_2014	noprop_4	252983
Age_at_menarche_ReproGen_2014	noprop_4	10000
Age_at_menarche_ReproGen_2014	noprop_5	2876
Age_at_menarche_ReproGen_2014	noprop_5	327
Age_at_menarche_ReproGen_2014	noprop_5	27306
Age_at_menarche_ReproGen_2014	noprop_5	1728
Age_at_menarche_ReproGen_2014	noprop_6	55294
Age_at_menarche_ReproGen_2014	noprop_6	57531
Age_at_menarche_ReproGen_2014	noprop_6	90933
Age_at_menarche_ReproGen_2014	noprop_6	11059
Age_at_menarche_ReproGen_2014	noprop_3	9846
Age_at_menarche_ReproGen_2014	noprop_3	93664
Age_at_menarche_ReproGen_2014	noprop_3	10817
Age_at_menarche_ReproGen_2014	noprop_3	627
Age_at_menarche_ReproGen_2014	noprop_8	406
Age_at_menarche_ReproGen_2014	noprop_8	6258
Age_at_menarche_ReproGen_2014	noprop_8	9477
Age_at_menarche_ReproGen_2014	noprop_7	705
Age_at_menarche_ReproGen_2014	noprop_7	28987
Age_at_menarche_ReproGen_2014	noprop_7	51602
Age_at_menarche_ReproGen_2014	noprop_12	7453
Age_at_menarche_ReproGen_2014	noprop_12	79731
Age_at_menarche_ReproGen_2014	noprop_11	26470
Age_at_menarche_ReproGen_2014	noprop_11	8479
Age_at_menarche_ReproGen_2014	noprop_11	10423
Age_at_menarche_ReproGen_2014	noprop_9	79068
Age_at_menarche_ReproGen_2014	noprop_9	10973
Age_at_menarche_ReproGen_2014	noprop_10	26054
Age_at_menarche_ReproGen_2014	noprop_10	6304
Age_at_menarche_ReproGen_2017	noprop_1	23410
Age_at_menarche_ReproGen_2017	noprop_1	6934
Age_at_menarche_ReproGen_2017	noprop_1	10363
Age_at_menarche_ReproGen_2017	noprop_1	51773
Age_at_menarche_ReproGen_2017	noprop_1	8314
Age_at_menarche_ReproGen_2017	noprop_1	23492
Age_at_menarche_ReproGen_2017	noprop_1	4990
Age_at_menarche_ReproGen_2017	noprop_1	23030
Age_at_menarche_ReproGen_2017	noprop_1	7867
Age_at_menarche_ReproGen_2017	noprop_1	6688
Age_at_menarche_ReproGen_2017	noprop_1	80312
Age_at_menarche_ReproGen_2017	noprop_1	8085
Age_at_menarche_ReproGen_2017	noprop_1	23135
Age_at_menarche_ReproGen_2017	noprop_1	51317
Age_at_menarche_ReproGen_2017	noprop_1	51804
Age_at_menarche_ReproGen_2017	noprop_1	9898
Age_at_menarche_ReproGen_2017	noprop_1	23054
Age_at_menarche_ReproGen_2017	noprop_1	3014
Age_at_menarche_ReproGen_2017	noprop_1	473
Age_at_menarche_ReproGen_2017	noprop_1	23466
Age_at_menarche_ReproGen_2017	noprop_1	9757
Age_at_menarche_ReproGen_2017	noprop_1	10919
Age_at_menarche_ReproGen_2017	noprop_1	7343
Age_at_menarche_ReproGen_2017	noprop_1	25777
Age_at_menarche_ReproGen_2017	noprop_2	57521
Age_at_menarche_ReproGen_2017	noprop_2	9776
Age_at_menarche_ReproGen_2017	noprop_2	9821
Age_at_menarche_ReproGen_2017	noprop_2	4485
Age_at_menarche_ReproGen_2017	noprop_2	5300
Age_at_menarche_ReproGen_2017	noprop_2	5571
Age_at_menarche_ReproGen_2017	noprop_2	53944
Age_at_menarche_ReproGen_2017	noprop_2	79109
Age_at_menarche_ReproGen_2017	noprop_2	10000
Age_at_menarche_ReproGen_2017	noprop_2	4486
Age_at_menarche_ReproGen_2017	noprop_2	55626
Age_at_menarche_ReproGen_2017	noprop_2	27250
Age_at_menarche_ReproGen_2017	noprop_2	2309
Age_at_menarche_ReproGen_2017	noprop_2	84557
Age_at_menarche_ReproGen_2017	noprop_2	252983
Age_at_menarche_ReproGen_2017	noprop_2	23334
Age_at_menarche_ReproGen_2017	noprop_3	112950
Age_at_menarche_ReproGen_2017	noprop_3	6258
Age_at_menarche_ReproGen_2017	noprop_3	9325
Age_at_menarche_ReproGen_2017	noprop_3	23017
Age_at_menarche_ReproGen_2017	noprop_3	9611
Age_at_menarche_ReproGen_2017	noprop_3	406
Age_at_menarche_ReproGen_2017	noprop_3	7021
Age_at_menarche_ReproGen_2017	noprop_3	79047
Age_at_menarche_ReproGen_2017	noprop_3	219541
Age_at_menarche_ReproGen_2017	noprop_3	55870
Age_at_menarche_ReproGen_2017	noprop_3	7068
Age_at_menarche_ReproGen_2017	noprop_3	6095
Age_at_menarche_ReproGen_2017	noprop_3	129787
Age_at_menarche_ReproGen_2017	noprop_3	9477
Age_at_menarche_ReproGen_2017	noprop_6	54535
Age_at_menarche_ReproGen_2017	noprop_6	9768
Age_at_menarche_ReproGen_2017	noprop_6	387103
Age_at_menarche_ReproGen_2017	noprop_6	5528
Age_at_menarche_ReproGen_2017	noprop_6	8379
Age_at_menarche_ReproGen_2017	noprop_6	6941
Age_at_menarche_ReproGen_2017	noprop_6	7514
Age_at_menarche_ReproGen_2017	noprop_6	991
Age_at_menarche_ReproGen_2017	noprop_6	10024
Age_at_menarche_ReproGen_2017	noprop_6	23047
Age_at_menarche_ReproGen_2017	noprop_7	80737
Age_at_menarche_ReproGen_2017	noprop_7	7407
Age_at_menarche_ReproGen_2017	noprop_7	7453
Age_at_menarche_ReproGen_2017	noprop_7	5859
Age_at_menarche_ReproGen_2017	noprop_7	23082
Age_at_menarche_ReproGen_2017	noprop_7	56652
Age_at_menarche_ReproGen_2017	noprop_7	22907
Age_at_menarche_ReproGen_2017	noprop_7	79731
Age_at_menarche_ReproGen_2017	noprop_7	5917
Age_at_menarche_ReproGen_2017	noprop_7	2193
Age_at_menarche_ReproGen_2017	noprop_4	5604
Age_at_menarche_ReproGen_2017	noprop_4	4296
Age_at_menarche_ReproGen_2017	noprop_4	8631
Age_at_menarche_ReproGen_2017	noprop_4	7529
Age_at_menarche_ReproGen_2017	noprop_4	6494
Age_at_menarche_ReproGen_2017	noprop_4	26137
Age_at_menarche_ReproGen_2017	noprop_4	5595
Age_at_menarche_ReproGen_2017	noprop_4	9863
Age_at_menarche_ReproGen_2017	noprop_5	26054
Age_at_menarche_ReproGen_2017	noprop_5	9063
Age_at_menarche_ReproGen_2017	noprop_5	154215
Age_at_menarche_ReproGen_2017	noprop_5	7690
Age_at_menarche_ReproGen_2017	noprop_5	4929
Age_at_menarche_ReproGen_2017	noprop_5	7341
Age_at_menarche_ReproGen_2017	noprop_5	55729
Age_at_menarche_ReproGen_2017	noprop_5	10055
Age_at_menarche_ReproGen_2017	noprop_5	6304
Age_at_menarche_ReproGen_2017	noprop_8	11060
Age_at_menarche_ReproGen_2017	noprop_8	1488
