Disease	Cluster	Gene
Age_at_menarche_ReproGen_2017	noprop_1	8927
Age_at_menarche_ReproGen_2017	noprop_1	5792
Age_at_menarche_ReproGen_2017	noprop_1	5789
Age_at_menarche_ReproGen_2017	noprop_1	9229
Age_at_menarche_ReproGen_2017	noprop_1	4646
Age_at_menarche_ReproGen_2017	noprop_1	9455
Age_at_menarche_ReproGen_2017	noprop_1	1740
Age_at_menarche_ReproGen_2017	noprop_1	80036
Age_at_menarche_ReproGen_2017	noprop_1	9228
Age_at_menarche_ReproGen_2017	noprop_1	7225
Age_at_menarche_ReproGen_2017	noprop_1	9254
Age_at_menarche_ReproGen_2017	noprop_1	814
Age_at_menarche_ReproGen_2017	noprop_1	5576
Age_at_menarche_ReproGen_2017	noprop_4	23410
Age_at_menarche_ReproGen_2017	noprop_4	23030
Age_at_menarche_ReproGen_2017	noprop_4	8085
Age_at_menarche_ReproGen_2017	noprop_4	9757
Age_at_menarche_ReproGen_2017	noprop_4	7867
Age_at_menarche_ReproGen_2017	noprop_4	51773
Age_at_menarche_ReproGen_2017	noprop_4	51317
Age_at_menarche_ReproGen_2017	noprop_4	23054
Age_at_menarche_ReproGen_2017	noprop_4	4990
Age_at_menarche_ReproGen_2017	noprop_2	5571
Age_at_menarche_ReproGen_2017	noprop_2	57521
Age_at_menarche_ReproGen_2017	noprop_2	2309
Age_at_menarche_ReproGen_2017	noprop_2	4485
Age_at_menarche_ReproGen_2017	noprop_2	4486
Age_at_menarche_ReproGen_2017	noprop_2	5300
Age_at_menarche_ReproGen_2017	noprop_2	55626
Age_at_menarche_ReproGen_2017	noprop_2	252983
Age_at_menarche_ReproGen_2017	noprop_2	23334
Age_at_menarche_ReproGen_2017	noprop_2	84557
Age_at_menarche_ReproGen_2017	noprop_7	1154
Age_at_menarche_ReproGen_2017	noprop_7	10293
Age_at_menarche_ReproGen_2017	noprop_7	7318
Age_at_menarche_ReproGen_2017	noprop_7	57531
Age_at_menarche_ReproGen_2017	noprop_7	63891
Age_at_menarche_ReproGen_2017	noprop_7	10425
Age_at_menarche_ReproGen_2017	noprop_7	11059
Age_at_menarche_ReproGen_2017	noprop_5	9325
Age_at_menarche_ReproGen_2017	noprop_5	9477
Age_at_menarche_ReproGen_2017	noprop_5	23017
Age_at_menarche_ReproGen_2017	noprop_5	406
Age_at_menarche_ReproGen_2017	noprop_5	6258
Age_at_menarche_ReproGen_2017	noprop_9	7514
Age_at_menarche_ReproGen_2017	noprop_9	9768
Age_at_menarche_ReproGen_2017	noprop_9	387103
Age_at_menarche_ReproGen_2017	noprop_9	8379
Age_at_menarche_ReproGen_2017	noprop_6	6304
Age_at_menarche_ReproGen_2017	noprop_6	10055
Age_at_menarche_ReproGen_2017	noprop_6	7341
Age_at_menarche_ReproGen_2017	noprop_6	26054
Age_at_menarche_ReproGen_2017	noprop_10	8479
Age_at_menarche_ReproGen_2017	noprop_10	26470
Age_at_menarche_ReproGen_2017	noprop_10	10423
Age_at_menarche_ReproGen_2017	noprop_10	9807
Age_at_menarche_ReproGen_2017	noprop_8	10973
Age_at_menarche_ReproGen_2017	noprop_8	79068
Age_at_menarche_ReproGen_2017	noprop_8	9647
Age_at_menarche_ReproGen_2017	noprop_3	1488
Age_at_menarche_ReproGen_2017	noprop_3	6911
Age_at_menarche_ReproGen_2017	noprop_3	11060
Age_at_menarche_ReproGen_2017	noprop_11	51780
Age_at_menarche_ReproGen_2017	noprop_11	6599
Age_related_Macular_Degeneration_NA_2016	noprop_2	10877
Age_related_Macular_Degeneration_NA_2016	noprop_2	718
Age_related_Macular_Degeneration_NA_2016	noprop_2	720
Age_related_Macular_Degeneration_NA_2016	noprop_2	81494
Age_related_Macular_Degeneration_NA_2016	noprop_2	3080
Age_related_Macular_Degeneration_NA_2016	noprop_2	348
Age_related_Macular_Degeneration_NA_2016	noprop_2	1071
Age_related_Macular_Degeneration_NA_2016	noprop_2	341
Age_related_Macular_Degeneration_NA_2016	noprop_2	55937
Age_related_Macular_Degeneration_NA_2016	noprop_2	2165
Age_related_Macular_Degeneration_NA_2016	noprop_1	717
Age_related_Macular_Degeneration_NA_2016	noprop_1	387715
Age_related_Macular_Degeneration_NA_2016	noprop_1	10878
Age_related_Macular_Degeneration_NA_2016	noprop_1	3075
Age_related_Macular_Degeneration_NA_2016	noprop_1	3078
Age_related_Macular_Degeneration_NA_2016	noprop_1	721
Age_related_Macular_Degeneration_NA_2016	noprop_1	629
Age_related_Macular_Degeneration_NA_2016	noprop_3	3106
Age_related_Macular_Degeneration_NA_2016	noprop_3	10665
Age_related_Macular_Degeneration_NA_2016	noprop_3	3119
Age_related_Macular_Degeneration_NA_2016	noprop_3	3117
Age_related_Macular_Degeneration_NA_2016	noprop_3	259197
Age_related_Macular_Degeneration_NA_2016	noprop_9	7916
Age_related_Macular_Degeneration_NA_2016	noprop_9	221527
Age_related_Macular_Degeneration_NA_2016	noprop_9	7940
Age_related_Macular_Degeneration_NA_2016	noprop_9	7920
Age_related_Macular_Degeneration_NA_2016	noprop_9	7918
Age_related_Macular_Degeneration_NA_2016	noprop_6	4795
Age_related_Macular_Degeneration_NA_2016	noprop_6	5654
Age_related_Macular_Degeneration_NA_2016	noprop_6	534
Age_related_Macular_Degeneration_NA_2016	noprop_6	10452
Age_related_Macular_Degeneration_NA_2016	noprop_5	199
Age_related_Macular_Degeneration_NA_2016	noprop_5	1460
Age_related_Macular_Degeneration_NA_2016	noprop_5	5460
Age_related_Macular_Degeneration_NA_2016	noprop_5	7046
Age_related_Macular_Degeneration_NA_2016	noprop_4	7124
Age_related_Macular_Degeneration_NA_2016	noprop_4	59338
Age_related_Macular_Degeneration_NA_2016	noprop_4	839
Age_related_Macular_Degeneration_NA_2016	noprop_4	177
Age_related_Macular_Degeneration_NA_2016	noprop_10	1265
Age_related_Macular_Degeneration_NA_2016	noprop_10	4758
Age_related_Macular_Degeneration_NA_2016	noprop_10	4318
Age_related_Macular_Degeneration_NA_2016	noprop_7	3305
Age_related_Macular_Degeneration_NA_2016	noprop_7	3304
Age_related_Macular_Degeneration_NA_2016	noprop_7	3303
Age_related_Macular_Degeneration_NA_2016	noprop_12	1295
Age_related_Macular_Degeneration_NA_2016	noprop_12	1285
Age_related_Macular_Degeneration_NA_2016	noprop_13	56257
Age_related_Macular_Degeneration_NA_2016	noprop_13	7936
Age_related_Macular_Degeneration_NA_2016	noprop_14	54535
Age_related_Macular_Degeneration_NA_2016	noprop_14	259266
Age_related_Macular_Degeneration_NA_2016	noprop_15	8859
Age_related_Macular_Degeneration_NA_2016	noprop_15	6499
Age_related_Macular_Degeneration_NA_2016	noprop_11	4855
Age_related_Macular_Degeneration_NA_2016	noprop_11	4049
Age_related_Macular_Degeneration_NA_2016	noprop_8	9374
Age_related_Macular_Degeneration_NA_2016	noprop_8	7407
Age_related_Macular_Degeneration_NA_2016	noprop_8	80737
Atrial_fibrillation_NA_2018	noprop_1	4624
Atrial_fibrillation_NA_2018	noprop_1	8751
Atrial_fibrillation_NA_2018	noprop_1	7273
Atrial_fibrillation_NA_2018	noprop_1	9644
Atrial_fibrillation_NA_2018	noprop_1	845
Atrial_fibrillation_NA_2018	noprop_1	307
Atrial_fibrillation_NA_2018	noprop_1	9499
Atrial_fibrillation_NA_2018	noprop_1	4625
Atrial_fibrillation_NA_2018	noprop_1	1073
Atrial_fibrillation_NA_2018	noprop_1	8082
Atrial_fibrillation_NA_2018	noprop_3	3782
Atrial_fibrillation_NA_2018	noprop_3	3781
Atrial_fibrillation_NA_2018	noprop_3	3709
Atrial_fibrillation_NA_2018	noprop_3	818
Atrial_fibrillation_NA_2018	noprop_3	817
Atrial_fibrillation_NA_2018	noprop_3	9472
Atrial_fibrillation_NA_2018	noprop_3	858
Atrial_fibrillation_NA_2018	noprop_4	662
Atrial_fibrillation_NA_2018	noprop_4	8729
Atrial_fibrillation_NA_2018	noprop_4	10112
Atrial_fibrillation_NA_2018	noprop_4	5861
Atrial_fibrillation_NA_2018	noprop_4	4905
Atrial_fibrillation_NA_2018	noprop_4	9632
Atrial_fibrillation_NA_2018	noprop_5	30819
Atrial_fibrillation_NA_2018	noprop_5	3752
Atrial_fibrillation_NA_2018	noprop_5	6331
Atrial_fibrillation_NA_2018	noprop_5	3757
Atrial_fibrillation_NA_2018	noprop_5	6336
Atrial_fibrillation_NA_2018	noprop_7	51320
Atrial_fibrillation_NA_2018	noprop_7	26249
Atrial_fibrillation_NA_2018	noprop_7	8697
Atrial_fibrillation_NA_2018	noprop_7	114907
Atrial_fibrillation_NA_2018	noprop_2	2064
Atrial_fibrillation_NA_2018	noprop_2	4756
Atrial_fibrillation_NA_2018	noprop_2	5747
Atrial_fibrillation_NA_2018	noprop_2	7456
Atrial_fibrillation_NA_2018	noprop_2	2676
Atrial_fibrillation_NA_2018	noprop_9	51780
Atrial_fibrillation_NA_2018	noprop_9	55818
Atrial_fibrillation_NA_2018	noprop_9	8110
Atrial_fibrillation_NA_2018	noprop_6	1026
Atrial_fibrillation_NA_2018	noprop_6	1021
Atrial_fibrillation_NA_2018	noprop_6	463
Atrial_fibrillation_NA_2018	noprop_12	2908
Atrial_fibrillation_NA_2018	noprop_12	10728
Atrial_fibrillation_NA_2018	noprop_10	3762
Atrial_fibrillation_NA_2018	noprop_10	1394
Atrial_fibrillation_NA_2018	noprop_11	23066
Atrial_fibrillation_NA_2018	noprop_11	8451
Atrial_fibrillation_NA_2018	noprop_8	2267
Atrial_fibrillation_NA_2018	noprop_8	6695
Crohn_s_Disease_IBDgenetics_2015	noprop_1	64170
Crohn_s_Disease_IBDgenetics_2015	noprop_1	1540
Crohn_s_Disease_IBDgenetics_2015	noprop_1	7124
Crohn_s_Disease_IBDgenetics_2015	noprop_1	64127
Crohn_s_Disease_IBDgenetics_2015	noprop_1	7375
Crohn_s_Disease_IBDgenetics_2015	noprop_1	9966
Crohn_s_Disease_IBDgenetics_2015	noprop_1	8771
Crohn_s_Disease_IBDgenetics_2015	noprop_1	8807
Crohn_s_Disease_IBDgenetics_2015	noprop_3	6774
Crohn_s_Disease_IBDgenetics_2015	noprop_3	5771
Crohn_s_Disease_IBDgenetics_2015	noprop_3	6347
Crohn_s_Disease_IBDgenetics_2015	noprop_3	149233
Crohn_s_Disease_IBDgenetics_2015	noprop_3	3717
Crohn_s_Disease_IBDgenetics_2015	noprop_3	1437
Crohn_s_Disease_IBDgenetics_2015	noprop_2	4485
Crohn_s_Disease_IBDgenetics_2015	noprop_2	120892
Crohn_s_Disease_IBDgenetics_2015	noprop_2	345611
Crohn_s_Disease_IBDgenetics_2015	noprop_2	4012
Crohn_s_Disease_IBDgenetics_2015	noprop_2	55054
Crohn_s_Disease_IBDgenetics_2015	noprop_2	5562
Crohn_s_Disease_IBDgenetics_2015	noprop_5	3659
Crohn_s_Disease_IBDgenetics_2015	noprop_5	259197
Crohn_s_Disease_IBDgenetics_2015	noprop_5	100507436
Crohn_s_Disease_IBDgenetics_2015	noprop_5	3107
Crohn_s_Disease_IBDgenetics_2015	noprop_8	63891
Crohn_s_Disease_IBDgenetics_2015	noprop_8	8453
Crohn_s_Disease_IBDgenetics_2015	noprop_8	10293
Crohn_s_Disease_IBDgenetics_2015	noprop_6	1388
Crohn_s_Disease_IBDgenetics_2015	noprop_6	1390
Crohn_s_Disease_IBDgenetics_2015	noprop_6	60468
Crohn_s_Disease_IBDgenetics_2015	noprop_11	8859
Crohn_s_Disease_IBDgenetics_2015	noprop_11	6499
Crohn_s_Disease_IBDgenetics_2015	noprop_9	629
Crohn_s_Disease_IBDgenetics_2015	noprop_9	717
Crohn_s_Disease_IBDgenetics_2015	noprop_10	56623
Crohn_s_Disease_IBDgenetics_2015	noprop_10	9807
Crohn_s_Disease_IBDgenetics_2015	noprop_7	7918
Crohn_s_Disease_IBDgenetics_2015	noprop_7	7940
Crohn_s_Disease_IBDgenetics_2015	noprop_4	63892
Crohn_s_Disease_IBDgenetics_2015	noprop_4	54901
Educational_attainment_SSGAC_2016	noprop_1	9859
Educational_attainment_SSGAC_2016	noprop_1	84962
Educational_attainment_SSGAC_2016	noprop_1	8766
Educational_attainment_SSGAC_2016	noprop_1	10806
