Disease	Cluster	Gene
1_2_4_benzenetriol	noprop_1	6224
1_2_4_benzenetriol	noprop_1	6155
1_2_4_benzenetriol	noprop_1	6128
1_2_4_benzenetriol	noprop_1	6122
1_2_4_benzenetriol	noprop_1	6135
1_2_4_benzenetriol	noprop_1	4736
1_2_4_benzenetriol	noprop_1	6167
1_2_4_benzenetriol	noprop_1	1938
1_2_4_benzenetriol	noprop_1	27335
1_2_4_benzenetriol	noprop_1	6175
1_2_4_benzenetriol	noprop_1	6137
1_2_4_benzenetriol	noprop_1	6209
1_2_4_benzenetriol	noprop_1	6161
1_2_4_benzenetriol	noprop_1	6187
1_2_4_benzenetriol	noprop_1	3646
1_2_4_benzenetriol	noprop_1	6193
1_2_4_benzenetriol	noprop_1	11224
1_2_4_benzenetriol	noprop_1	6147
1_2_4_benzenetriol	noprop_1	6229
1_2_4_benzenetriol	noprop_1	689
1_2_4_benzenetriol	noprop_1	25873
1_2_4_benzenetriol	noprop_1	6144
1_2_4_benzenetriol	noprop_1	6207
1_2_4_benzenetriol	noprop_1	6169
1_2_4_benzenetriol	noprop_1	3921
1_2_4_benzenetriol	noprop_1	6204
1_2_4_benzenetriol	noprop_1	6189
1_2_4_benzenetriol	noprop_1	6154
1_2_4_benzenetriol	noprop_1	6205
1_2_4_benzenetriol	noprop_1	6222
1_2_4_benzenetriol	noprop_1	6202
1_2_4_benzenetriol	noprop_1	6152
1_2_4_benzenetriol	noprop_1	6230
1_2_4_benzenetriol	noprop_1	6130
1_2_4_benzenetriol	noprop_1	6203
1_2_4_benzenetriol	noprop_1	6136
1_2_4_benzenetriol	noprop_1	8667
1_2_4_benzenetriol	noprop_1	6170
1_2_4_benzenetriol	noprop_1	6156
1_2_4_benzenetriol	noprop_1	6185
1_2_4_benzenetriol	noprop_1	6132
1_2_4_benzenetriol	noprop_1	728689
1_2_4_benzenetriol	noprop_1	10289
1_2_4_benzenetriol	noprop_1	6146
1_2_4_benzenetriol	noprop_1	6125
1_2_4_benzenetriol	noprop_1	6727
1_2_4_benzenetriol	noprop_1	6166
1_2_4_benzenetriol	noprop_1	6217
1_2_4_benzenetriol	noprop_1	6143
1_2_4_benzenetriol	noprop_1	1937
1_2_4_benzenetriol	noprop_1	1915
1_2_4_benzenetriol	noprop_1	6191
1_2_4_benzenetriol	noprop_1	8666
1_2_4_benzenetriol	noprop_1	6124
1_2_4_benzenetriol	noprop_4	5654
1_2_4_benzenetriol	noprop_4	293
1_2_4_benzenetriol	noprop_4	4697
1_2_4_benzenetriol	noprop_4	9296
1_2_4_benzenetriol	noprop_4	7388
1_2_4_benzenetriol	noprop_4	26521
1_2_4_benzenetriol	noprop_4	11331
1_2_4_benzenetriol	noprop_4	1345
1_2_4_benzenetriol	noprop_4	4710
1_2_4_benzenetriol	noprop_4	55654
1_2_4_benzenetriol	noprop_4	1347
1_2_4_benzenetriol	noprop_4	10312
1_2_4_benzenetriol	noprop_4	4694
1_2_4_benzenetriol	noprop_4	81892
1_2_4_benzenetriol	noprop_4	5464
1_2_4_benzenetriol	noprop_4	9550
1_2_4_benzenetriol	noprop_4	537
1_2_4_benzenetriol	noprop_4	526
1_2_4_benzenetriol	noprop_4	10063
1_2_4_benzenetriol	noprop_4	29796
1_2_4_benzenetriol	noprop_4	1337
1_2_4_benzenetriol	noprop_4	27430
1_2_4_benzenetriol	noprop_9	719
1_2_4_benzenetriol	noprop_9	3576
1_2_4_benzenetriol	noprop_9	7852
1_2_4_benzenetriol	noprop_9	2919
1_2_4_benzenetriol	noprop_9	728
1_2_4_benzenetriol	noprop_9	6367
1_2_4_benzenetriol	noprop_9	2921
1_2_4_benzenetriol	noprop_9	1230
1_2_4_benzenetriol	noprop_9	5196
1_2_4_benzenetriol	noprop_9	1880
1_2_4_benzenetriol	noprop_9	2920
1_2_4_benzenetriol	noprop_9	5660
1_2_4_benzenetriol	noprop_9	6374
1_2_4_benzenetriol	noprop_9	6354
1_2_4_benzenetriol	noprop_9	5473
1_2_4_benzenetriol	noprop_7	59286
1_2_4_benzenetriol	noprop_7	8683
1_2_4_benzenetriol	noprop_7	1655
1_2_4_benzenetriol	noprop_7	27316
1_2_4_benzenetriol	noprop_7	3188
1_2_4_benzenetriol	noprop_7	25957
1_2_4_benzenetriol	noprop_7	9584
1_2_4_benzenetriol	noprop_7	1153
1_2_4_benzenetriol	noprop_7	53938
1_2_4_benzenetriol	noprop_7	3190
1_2_4_benzenetriol	noprop_7	23360
1_2_4_benzenetriol	noprop_7	2079
1_2_4_benzenetriol	noprop_7	3181
1_2_4_benzenetriol	noprop_7	55082
