Disease	Cluster	Gene
Age_at_menarche_ReproGen_2014	domino_2	8019
Age_at_menarche_ReproGen_2014	domino_2	256646
Age_at_menarche_ReproGen_2014	domino_2	221037
Age_at_menarche_ReproGen_2014	domino_2	23081
Age_at_menarche_ReproGen_2014	domino_2	8545
Age_at_menarche_ReproGen_2014	domino_2	10927
Age_at_menarche_ReproGen_2014	domino_2	9682
Age_at_menarche_ReproGen_2014	domino_2	653604
Age_at_menarche_ReproGen_2014	domino_2	55929
Age_at_menarche_ReproGen_2014	domino_2	23133
Age_at_menarche_ReproGen_2014	domino_2	8607
Age_at_menarche_ReproGen_2014	domino_2	64769
Age_at_menarche_ReproGen_2014	domino_2	23338
Age_at_menarche_ReproGen_2014	domino_1	441061
Age_at_menarche_ReproGen_2014	domino_1	55327
Age_at_menarche_ReproGen_2014	domino_1	9254
Age_at_menarche_ReproGen_2014	domino_1	27092
Age_at_menarche_ReproGen_2014	domino_1	8170
Age_at_menarche_ReproGen_2014	domino_1	359
Age_at_menarche_ReproGen_2014	domino_1	5792
Age_at_menarche_ReproGen_2014	domino_1	84631
Age_at_menarche_ReproGen_2014	domino_1	8927
Age_at_menarche_ReproGen_2014	domino_1	127262
Age_at_menarche_ReproGen_2014	domino_1	10497
Age_at_menarche_ReproGen_2014	domino_1	8500
Age_at_menarche_ReproGen_2014	domino_1	7225
Age_at_menarche_ReproGen_2014	domino_1	3708
Age_at_menarche_ReproGen_2014	domino_1	59341
Age_at_menarche_ReproGen_2014	domino_1	6861
Age_at_menarche_ReproGen_2014	domino_1	1742
Age_at_menarche_ReproGen_2014	domino_4	5300
Age_at_menarche_ReproGen_2014	domino_4	7534
Age_at_menarche_ReproGen_2014	domino_4	4485
Age_at_menarche_ReproGen_2014	domino_4	252983
Age_at_menarche_ReproGen_2014	domino_4	208
Age_at_menarche_ReproGen_2014	domino_4	10000
Age_at_menarche_ReproGen_2014	domino_4	2309
Age_at_menarche_ReproGen_2014	domino_5	2876
Age_at_menarche_ReproGen_2014	domino_5	221357
Age_at_menarche_ReproGen_2014	domino_5	4482
Age_at_menarche_ReproGen_2014	domino_5	327
Age_at_menarche_ReproGen_2014	domino_5	27306
Age_at_menarche_ReproGen_2014	domino_5	1728
Age_at_menarche_ReproGen_2014	domino_5	51734
Age_at_menarche_ReproGen_2014	domino_6	55294
Age_at_menarche_ReproGen_2014	domino_6	401036
Age_at_menarche_ReproGen_2014	domino_6	57531
Age_at_menarche_ReproGen_2014	domino_6	90933
Age_at_menarche_ReproGen_2014	domino_6	390594
Age_at_menarche_ReproGen_2014	domino_6	11059
Age_at_menarche_ReproGen_2014	domino_6	57535
Age_at_menarche_ReproGen_2014	domino_3	9846
Age_at_menarche_ReproGen_2014	domino_3	400581
Age_at_menarche_ReproGen_2014	domino_3	10718
