Disease	Cluster	Gene
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	10209
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6144
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6206
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6188
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6164
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	26986
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	55629
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6228
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	10952
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6125
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6204
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	8666
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6171
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6130
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	1915
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6132
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6210
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	1974
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6143
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6128
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6187
APECED___Autoimmune_polyendocrinopathy_candidiasis_ectodermal_dystrophy	noprop_1	6231
