Disease	Cluster	Gene
10_mg_response_to_amphetamine_NA_2012	domino_4	1009
10_mg_response_to_amphetamine_NA_2012	domino_4	64403
10_mg_response_to_amphetamine_NA_2012	domino_4	54986
10_mg_response_to_amphetamine_NA_2012	domino_4	144100
10_mg_response_to_amphetamine_NA_2012	domino_4	5797
10_mg_response_to_amphetamine_NA_2012	domino_4	25945
10_mg_response_to_amphetamine_NA_2012	domino_4	1012
10_mg_response_to_amphetamine_NA_2012	domino_4	117583
10_mg_response_to_amphetamine_NA_2012	domino_4	387755
10_mg_response_to_amphetamine_NA_2012	domino_4	1015
10_mg_response_to_amphetamine_NA_2012	domino_4	9414
10_mg_response_to_amphetamine_NA_2012	domino_4	100506658
10_mg_response_to_amphetamine_NA_2012	domino_4	7082
10_mg_response_to_amphetamine_NA_2012	domino_4	55691
10_mg_response_to_amphetamine_NA_2012	domino_4	342184
10_mg_response_to_amphetamine_NA_2012	domino_4	1500
10_mg_response_to_amphetamine_NA_2012	domino_4	8531
10_mg_response_to_amphetamine_NA_2012	domino_4	1496
10_mg_response_to_amphetamine_NA_2012	domino_4	29119
10_mg_response_to_amphetamine_NA_2012	domino_4	1002
10_mg_response_to_amphetamine_NA_2012	domino_4	58494
10_mg_response_to_amphetamine_NA_2012	domino_4	2313
10_mg_response_to_amphetamine_NA_2012	domino_4	1003
10_mg_response_to_amphetamine_NA_2012	domino_4	1501
10_mg_response_to_amphetamine_NA_2012	domino_4	10009
10_mg_response_to_amphetamine_NA_2012	domino_4	79827
10_mg_response_to_amphetamine_NA_2012	domino_4	999
10_mg_response_to_amphetamine_NA_2012	domino_4	1010
10_mg_response_to_amphetamine_NA_2012	domino_4	115294
10_mg_response_to_amphetamine_NA_2012	domino_4	11149
10_mg_response_to_amphetamine_NA_2012	domino_4	81607
10_mg_response_to_amphetamine_NA_2012	domino_4	1495
10_mg_response_to_amphetamine_NA_2012	domino_4	5010
10_mg_response_to_amphetamine_NA_2012	domino_4	50855
10_mg_response_to_amphetamine_NA_2012	domino_5	6262
10_mg_response_to_amphetamine_NA_2012	domino_5	492
10_mg_response_to_amphetamine_NA_2012	domino_5	2903
10_mg_response_to_amphetamine_NA_2012	domino_5	2898
10_mg_response_to_amphetamine_NA_2012	domino_5	80036
10_mg_response_to_amphetamine_NA_2012	domino_5	8913
10_mg_response_to_amphetamine_NA_2012	domino_5	801
10_mg_response_to_amphetamine_NA_2012	domino_5	817
10_mg_response_to_amphetamine_NA_2012	domino_5	781
10_mg_response_to_amphetamine_NA_2012	domino_5	5573
10_mg_response_to_amphetamine_NA_2012	domino_5	9590
10_mg_response_to_amphetamine_NA_2012	domino_5	6263
10_mg_response_to_amphetamine_NA_2012	domino_5	9472
10_mg_response_to_amphetamine_NA_2012	domino_5	81832
10_mg_response_to_amphetamine_NA_2012	domino_5	359
10_mg_response_to_amphetamine_NA_2012	domino_5	4842
10_mg_response_to_amphetamine_NA_2012	domino_5	2900
10_mg_response_to_amphetamine_NA_2012	domino_5	7225
10_mg_response_to_amphetamine_NA_2012	domino_5	3708
10_mg_response_to_amphetamine_NA_2012	domino_5	163688
10_mg_response_to_amphetamine_NA_2012	domino_5	7222
10_mg_response_to_amphetamine_NA_2012	domino_5	57118
10_mg_response_to_amphetamine_NA_2012	domino_5	100133315
10_mg_response_to_amphetamine_NA_2012	domino_5	773
10_mg_response_to_amphetamine_NA_2012	domino_5	339451
10_mg_response_to_amphetamine_NA_2012	domino_5	490
10_mg_response_to_amphetamine_NA_2012	domino_5	59341
10_mg_response_to_amphetamine_NA_2012	domino_5	8170
10_mg_response_to_amphetamine_NA_2012	domino_5	3709
10_mg_response_to_amphetamine_NA_2012	domino_5	10335
10_mg_response_to_amphetamine_NA_2012	domino_5	5593
10_mg_response_to_amphetamine_NA_2012	domino_5	54800
10_mg_response_to_amphetamine_NA_2012	domino_3	2036
10_mg_response_to_amphetamine_NA_2012	domino_3	23426
10_mg_response_to_amphetamine_NA_2012	domino_3	27091
10_mg_response_to_amphetamine_NA_2012	domino_3	55799
