Disease	Cluster	Gene
AATF	noprop_2	6187
AATF	noprop_2	1915
AATF	noprop_2	6208
AATF	noprop_2	728689
AATF	noprop_2	11224
AATF	noprop_2	1975
AATF	noprop_2	6169
AATF	noprop_2	6203
AATF	noprop_2	3692
AATF	noprop_2	6136
AATF	noprop_2	6128
AATF	noprop_2	10209
AATF	noprop_2	58477
AATF	noprop_2	1938
AATF	noprop_2	6185
AATF	noprop_2	6138
AATF	noprop_2	6142
AATF	noprop_2	6189
AATF	noprop_2	6132
AATF	noprop_2	3703
AATF	noprop_2	6130
AATF	noprop_2	8661
AATF	noprop_2	6234
AATF	noprop_2	6188
AATF	noprop_2	1937
AATF	noprop_2	6210
AATF	noprop_2	6125
AATF	noprop_2	51386
AATF	noprop_2	6122
AATF	noprop_2	6191
AATF	noprop_2	6133
AATF	noprop_2	1965
AATF	noprop_2	1603
AATF	noprop_2	6175
AATF	noprop_2	23
AATF	noprop_2	6204
AATF	noprop_2	6194
AATF	noprop_2	6134
AATF	noprop_2	6155
AATF	noprop_2	6231
AATF	noprop_2	1983
AATF	noprop_2	6129
AATF	noprop_2	6141
AATF	noprop_2	26986
AATF	noprop_3	8602
AATF	noprop_3	51187
AATF	noprop_3	29889
AATF	noprop_3	81034
AATF	noprop_3	55646
AATF	noprop_3	57062
AATF	noprop_3	51504
AATF	noprop_3	54663
AATF	noprop_3	92856
AATF	noprop_3	51602
AATF	noprop_3	54888
AATF	noprop_3	677
AATF	noprop_3	51388
AATF	noprop_3	83743
AATF	noprop_3	84365
AATF	noprop_3	64425
AATF	noprop_3	705
AATF	noprop_3	55813
AATF	noprop_3	26574
AATF	noprop_3	4839
AATF	noprop_3	4691
AATF	noprop_3	9221
AATF	noprop_3	11137
AATF	noprop_3	23160
AATF	noprop_3	51154
AATF	noprop_3	51068
AATF	noprop_3	23404
AATF	noprop_3	117246
AATF	noprop_3	60528
AATF	noprop_3	9136
AATF	noprop_3	23481
AATF	noprop_1	54809
AATF	noprop_1	3431
AATF	noprop_1	64761
AATF	noprop_1	10437
AATF	noprop_1	6672
AATF	noprop_1	83666
AATF	noprop_1	24138
AATF	noprop_1	3429
AATF	noprop_1	3434
AATF	noprop_1	8638
AATF	noprop_1	10581
AATF	noprop_1	5359
AATF	noprop_1	821
AATF	noprop_1	3133
